metric,claim,sources,verified,status,confidence,conf_score,ev_weight,max_tier,study_types,dois,quality,agreement,sample,recency,overall
MRSA,MRSA 2.6-4%,2,y,VERIFIED,High,0.85,9,9,other systematic review,10.4102/ajlm.v5i1.432 10.4102/ajlm.v7i2.796,90,90,,70,88
ESBL,first report of community-acquired ESBL Enterobacteriaceae bloodstream infections in Zanzibar,2,y,VERIFIED,High,0.85,9,9,other systematic review,10.1371/journal.pone.0145632 10.4102/ajlm.v7i2.796,90,90,,70,88
AMR,Progress on sustainable AMR-NAP implementation ranges 7% (Burundi) to 94% (Kenya),1,y,VERIFIED,Medium,0.6,1,9,expert opinion,10.1186/s13756-025-01662-y,40,55,,95,52
WHO,WHO AMR-surveillance checklist completion 44-100%,1,y,VERIFIED,Medium,0.6,1,9,expert opinion,10.1186/s13756-025-01662-y,40,55,,95,52
gaps lab capacity,"gaps in lab capacity, representativeness, integration and financing",1,y,VERIFIED,Medium,0.6,1,9,expert opinion,10.1186/s13756-025-01662-y,40,55,,95,52
high resistance first,"High resistance to first-line drugs 50-100% (ampicillin, cotrimoxazole), emerging ceftriaxone resist",1,y,VERIFIED,Medium,0.6,4,9,other,10.4102/ajlm.v5i1.432,60,55,,70,59
pathogenic bacteria patients,Pathogenic bacteria in 14% of patients,1,y,VERIFIED,Medium,0.6,4,9,other,10.1371/journal.pone.0145632,60,55,,50,57
salmonella typhi isolates,6/7 Salmonella Typhi isolates multidrug resistant,1,y,VERIFIED,Medium,0.6,4,9,other,10.1371/journal.pone.0145632,60,55,,50,57
HCAI,"HCAI driven by Klebsiella, S. aureus, E. coli, Pseudomonas",1,y,VERIFIED,Medium,0.6,9,9,systematic review,10.4102/ajlm.v7i2.796,90,55,,70,75
surveillance sparse,surveillance sparse,1,y,VERIFIED,Medium,0.6,9,9,systematic review,10.4102/ajlm.v7i2.796,90,55,,70,75
